,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32
home_venue_games,0.017657646645804354,-0.011610491081433914,0.49201951816639433,0.06436536710165237,0.005008380121241136,0.020520438838097243,0.0024097452241498432,0.029458437355071195,-0.02415780289144562,-0.004517361522618148,-0.022828471703046613,-0.003616258828915434,0.004468046703170044,-0.00041974186542680255,0.011980050493260617,-0.0023108268229307728,-0.005008722658332447,0.00039170375282646417,-0.0025209968682391526,-0.007241646003275,-0.0015318653817808533,0.010325153927667391,0.00234643648412053,0.00891320957040788,-0.008091020381226359,0.7048610287749965,0.4600479748631436,-0.20465502006083805,1.0758661069683373e-13,-5.02631848820666e-13,6.768978309963819e-13,-2.0451452893117373e-13
home_venue_goals_avg,0.20335713332670255,-0.18395148988190205,0.052692220272165226,-0.1501553787279206,-0.16460375337887093,-0.06412767690158039,-0.20775403963814454,-0.047427501151928675,0.14230122786738233,0.12226006485571564,0.24755867324211972,-0.08443666925406977,-0.22512397509690013,-0.008976197562999262,-0.16581539054294422,-0.3826784599385858,0.5392033411524504,-0.14377149948459725,-0.14463172121175302,0.21141668789776474,0.175730119416095,-0.06368208981833214,-0.28720790801398827,-0.009694075324489399,-0.002721594297869404,-0.0004920281875694901,-0.0016430674151056085,-0.0008901198853957784,-2.59769061267219e-16,3.2214625478909887e-15,-3.94897540633572e-15,1.0362420031361259e-15
home_venue_conceded_avg,-0.14590091780071915,0.12465100431471038,0.07547970098902396,-0.23406230560321814,-0.20049285535223277,-0.08472276836988565,-0.2198094551615569,-0.12628731908127946,0.5343281063036014,0.10001042084877472,0.022820615790997006,0.20433548561456816,0.1618935198945155,-0.2635778085328556,0.5556897758954605,0.0712548598256886,0.08444346717515268,0.08358123612903602,-0.046272032415153874,-0.11879727186644608,-0.11103469198359317,0.02259833900119283,-0.0209550335637035,-0.005952431759464804,0.002404996706012843,-0.003984280078336938,-0.0033893177503385497,0.0012867951901308966,-1.1141573643399769e-15,3.5763327354671395e-15,-4.397531700541615e-15,1.5433126305624996e-15
home_clean_sheets_ratio,0.15525378346427643,-0.15584490835039266,-0.04699627579922593,0.2791549153137433,0.2705141877771284,0.054763915633325916,0.0865987949483478,-0.06710888564678474,-0.00802641097212044,0.10413066055950959,0.2242836505392441,-0.031579823861752315,-0.34540211297015544,-0.18468146205982544,0.44377597157956017,-0.18819770189513602,-0.20164100719969683,0.3794135514156573,0.08495257202977181,0.2893497243780708,0.22756514015090354,0.016814720286502043,0.08765625061561048,-0.002147891026497115,0.0010640513457436417,0.002663635422964258,0.0003215334612097115,-6.496879465056707e-05,-1.2849769059599362e-15,-2.2109612957233536e-15,2.7094454348675403e-15,-1.0451736273506305e-15
home_scoring_ratio,0.19294099443601698,-0.19125992004432757,-0.009555475017811026,-0.14564341980862872,-0.16772908666766836,0.021650228654345925,-0.18374531218799506,0.22871298305022855,-0.13695440470163425,0.0036524072835277402,0.07386111152774313,-0.20222820638113548,-0.08029963588281505,-0.2459184108194805,0.08681797918858727,0.6785218239096056,-0.1472198739920258,-0.13263055437793417,0.016311793588578875,0.24495323408858638,0.09173428534229652,-0.11213947286137445,-0.26384691414296874,0.005494977361644478,-0.007206852616658663,0.0033182219108205705,0.0027543208714244137,-0.0016094039571366181,-8.941546329934513e-16,2.231461232912453e-16,4.333454079191557e-16,3.3114484349174546e-17
home_avg_corners,0.17618077288586997,-0.1649833587638776,0.028184852078689225,-0.0462371380268541,-0.03303780678821362,-0.12464577441174181,0.0960107639967777,-0.43697473432563744,-0.10867938994805777,0.5732526166717546,0.026073279698496682,-0.026446342865446722,0.38202809776985924,0.044584468799060806,-0.07160390123321742,0.029620018264731235,-0.26068265333777935,-0.029540159429317377,-0.37838017410665586,0.04927835717935077,0.0982400654545743,-0.0050010258169118724,0.044101994809103394,0.0046178153948247406,-0.013354174698060049,-0.0008384370499432332,-0.0041929029926805516,0.0013361521605169998,2.6137176469085265e-15,2.312852285975053e-15,-2.9590844887176486e-15,9.557400095723244e-16
away_games_played,0.01842614562418924,-0.012703414730062024,0.492210368958209,0.06502745022201918,0.0037752391890224185,0.021571249584692365,0.0030726094576937835,0.03511873371465012,-0.030248900795675923,-0.009067111752971783,-0.02324777536234369,-0.0027651456348408983,0.003087796549409812,0.00047570541845743736,0.012235241296400714,-0.00015409335858456873,-0.007160778053083769,-0.00045580124455247125,-0.0005346480934652202,-0.0007438878692890007,0.0022372794947896845,0.008029881443866918,0.0066619697347654865,-0.005857376351568263,0.007870349735632342,-0.22187210887050815,-0.5011747756225858,-0.6700048636257784,-9.312764137704249e-14,4.900445821131916e-13,-6.494447434960943e-13,2.06085650779592e-13
away_avg_goals_scored,0.2165623782448942,0.2478288512810495,-0.003813518302620784,-0.1256642350735548,0.22933952540727362,0.014468156042466452,-0.14893906579110913,-0.023834655496301684,-0.10907145387836954,0.04059415235109892,-0.10776432453080595,0.04319713299843501,-0.033812790341180766,0.07495924690114834,0.05624908294377308,0.0037266968033361067,0.0033222356056265704,0.000413643985473321,-0.051150310474526804,0.17821809104455072,-0.22122698138534894,0.6117074410059983,-0.22716641457033013,0.0069332605820323235,-0.010585664271547812,-0.003724177728454071,0.0015604216567489714,-0.001033754594983471,-0.09546434563508394,0.07173272079225078,-0.07573214884232887,-0.48379948173750764
away_avg_goals_conceded,-0.18791877093750547,-0.19911156055532792,0.016384183513988432,-0.2689061471638528,0.3210917434023074,-0.030712084924286,-0.046626711515914465,0.04623310326824479,-0.10123232432072322,-0.0616510130272001,0.06578111708364193,-0.011536615543830873,0.0841976163318673,0.01908209780121184,0.07368938551595175,-0.011702590017141488,-0.03251430901382,-0.02117164179402053,0.01597639481922259,-0.32466835133338784,0.41324536081047164,0.4421792670586551,-0.26550586714641383,-0.00033564790110270223,-0.0015674942158620097,-0.0016994445190164312,0.0007254393946923982,-0.0027517909172474703,0.07777024710498082,-0.05843722475038302,0.06169536794157947,0.3941283522521892
away_avg_goal_diff,0.2452121396339756,0.2720017987535992,-0.011383901168393882,0.06195847794780053,-0.021385844336055896,0.026194704425271113,-0.07360295177602427,-0.04079577741144726,-0.01764694868257118,0.060245359596508674,-0.10703541252050991,0.03488980648121845,-0.06793125182123819,0.03941294310310956,-0.0025089282612262677,0.008796331970358688,0.019774867764445602,0.011715740804104766,-0.04256493497198704,0.293676715896519,-0.3700749699778811,0.16682553302052283,-0.007211704121273935,0.004780645427380955,-0.006175034409710712,-0.0015520811286923132,0.0006430897225756948,0.0008013394958377698,0.1439099835451613,-0.10813518492361883,0.11416421723979549,0.7293149603952127
